일자|시간|구분,공급량
2019-01-22 20 A,2643.964
2019-01-22 21 A,2555.1401
2019-01-22 22 A,2522.9778
2019-01-22 23 A,2443.5889
2019-01-22 24 A,2344.828
2019-01-23 01 A,2191.628
2019-01-23 02 A,2013.9539
2019-01-23 03 A,1931.9281
2019-01-23 04 A,1962.139
2019-01-23 05 A,2189.3992
2019-01-23 06 A,2436.0862
2019-01-23 07 A,2821.2932
2019-01-23 08 A,3298.7954
2019-01-23 09 A,3450.4744
2019-01-23 10 A,3304.1626
2019-01-23 11 A,3197.2478
2019-01-23 12 A,3014.9382
2019-01-23 13 A,2849.8813
2019-01-23 14 A,2744.406
2019-01-23 15 A,2642.1013
2019-01-23 16 A,2601.6785
2019-01-23 17 A,2718.025
2019-01-23 18 A,2962.3562
2019-01-23 19 A,3275.0356
2019-01-23 20 A,3424.1035
2019-01-23 21 A,3341.0154
2019-01-23 22 A,3307.4197
2019-01-23 23 A,3208.0564
2019-01-23 24 A,3099.248
2019-01-24 01 A,2844.0073
2019-01-24 02 A,2555.8042
2019-01-24 03 A,2450.4436
2019-01-24 04 A,2483.0466
2019-01-24 05 A,2631.9521
2019-01-24 06 A,2860.436
2019-01-24 07 A,3164.9524
2019-01-24 08 A,3577.7449
2019-01-24 09 A,3790.743
2019-01-24 10 A,3640.4597
2019-01-24 11 A,3542.488
2019-01-24 12 A,3329.9546
2019-01-24 13 A,3157.6575
2019-01-24 14 A,3043.2832
2019-01-24 15 A,2943.7844
2019-01-24 16 A,2879.6116
2019-01-24 17 A,2999.2378
2019-01-24 18 A,3241.4104
2019-01-24 19 A,3559.9807
2019-01-24 20 A,3686.8926
2019-01-24 21 A,3593.829
2019-01-24 22 A,3554.7427
2019-01-24 23 A,3439.7107
2019-01-24 24 A,3316.3103
2019-01-25 01 A,3029.072
2019-01-25 02 A,2756.1838
2019-01-25 03 A,2586.0544
2019-01-25 04 A,2637.9268
2019-01-25 05 A,2781.2153
2019-01-25 06 A,2997.0244
2019-01-25 07 A,3333.2356
2019-01-25 08 A,3738.931
2019-01-25 09 A,3953.89
2019-01-25 10 A,3779.599
2019-01-25 11 A,3674.454
2019-01-25 12 A,3451.139
2019-01-25 13 A,3262.8813
2019-01-25 14 A,3157.617
2019-01-25 15 A,3067.5234
2019-01-25 16 A,2998.7056
2019-01-25 17 A,3125.9836
2019-01-25 18 A,3368.1318
2019-01-25 19 A,3672.1921
2019-01-25 20 A,3804.7163
2019-01-25 21 A,3739.0457
2019-01-25 22 A,3671.221
2019-01-25 23 A,3569.8345
2019-01-25 24 A,3444.5696
2019-01-26 01 A,3184.3645
2019-01-26 02 A,2926.8608
2019-01-26 03 A,2765.2031
2019-01-26 04 A,2823.9468
2019-01-26 05 A,2982.507
2019-01-26 06 A,3227.9395
2019-01-26 07 A,3580.8162
2019-01-26 08 A,3990.1853
2019-01-26 09 A,4162.6196
2019-01-26 10 A,4001.859
2019-01-26 11 A,3889.3926
2019-01-26 12 A,3666.9307
2019-01-26 13 A,3482.9353
2019-01-26 14 A,3364.1047
2019-01-26 15 A,3237.836
2019-01-26 16 A,3151.8967
2019-01-26 17 A,3247.4976
2019-01-26 18 A,3451.1191
2019-01-26 19 A,3724.2957
2019-01-26 20 A,3880.7385
2019-01-26 21 A,3804.5547
2019-01-26 22 A,3720.7139
2019-01-26 23 A,3578.5413
2019-01-26 24 A,3415.3794
2019-01-27 01 A,3128.872
2019-01-27 02 A,2837.2385
2019-01-27 03 A,2616.3955
2019-01-27 04 A,2668.0059
2019-01-27 05 A,2780.0505
2019-01-27 06 A,2908.0935
2019-01-27 07 A,3032.3628
2019-01-27 08 A,3359.2202
2019-01-27 09 A,3593.114
2019-01-27 10 A,3535.922
2019-01-27 11 A,3450.7385
2019-01-27 12 A,3213.3176
2019-01-27 13 A,3007.604
2019-01-27 14 A,2887.6091
2019-01-27 15 A,2761.195
2019-01-27 16 A,2671.012
2019-01-27 17 A,2745.9172
2019-01-27 18 A,2943.1477
2019-01-27 19 A,3200.7495
2019-01-27 20 A,3320.9033
2019-01-27 21 A,3226.661
2019-01-27 22 A,3103.822
2019-01-27 23 A,2976.1729
2019-01-27 24 A,2851.041
2019-01-28 01 A,2606.6926
2019-01-28 02 A,2332.6926
2019-01-28 03 A,2165.3062
2019-01-28 04 A,2211.9556
2019-01-28 05 A,2320.6216
2019-01-28 06 A,2434.1116
2019-01-28 07 A,2538.563
2019-01-28 08 A,2869.622
2019-01-28 09 A,3055.5881
2019-01-28 10 A,3057.748
2019-01-28 11 A,2982.355
2019-01-28 12 A,2802.8765
2019-01-28 13 A,2644.7256
2019-01-28 14 A,2556.2986
2019-01-28 15 A,2476.6724
2019-01-28 16 A,2439.4473
2019-01-28 17 A,2558.7039
2019-01-28 18 A,2793.2876
2019-01-28 19 A,3062.4783
2019-01-28 20 A,3187.334
2019-01-28 21 A,3111.386
2019-01-28 22 A,3005.312
2019-01-28 23 A,2882.7227
2019-01-28 24 A,2743.641
2019-01-29 01 A,2591.3506
2019-01-29 02 A,2344.499
2019-01-29 03 A,2245.608
2019-01-29 04 A,2296.5427
2019-01-29 05 A,2466.869
2019-01-29 06 A,2689.9197
2019-01-29 07 A,2982.0383
2019-01-29 08 A,3418.6128
2019-01-29 09 A,3565.3425
2019-01-29 10 A,3480.7605
2019-01-29 11 A,3412.165
2019-01-29 12 A,3218.9285
2019-01-29 13 A,3067.667
2019-01-29 14 A,2958.9104
2019-01-29 15 A,2854.628
2019-01-29 16 A,2797.6438
2019-01-29 17 A,2890.1865
2019-01-29 18 A,3125.9397
2019-01-29 19 A,3373.204
2019-01-29 20 A,3509.793
2019-01-29 21 A,3428.6184
2019-01-29 22 A,3323.414
2019-01-29 23 A,3190.8792
2019-01-29 24 A,3052.0642
2019-01-30 01 A,2707.2964
2019-01-30 02 A,2461.2283
2019-01-30 03 A,2348.3284
2019-01-30 04 A,2385.8992
2019-01-30 05 A,2533.1614
2019-01-30 06 A,2733.7368
2019-01-30 07 A,3077.0378
2019-01-30 08 A,3458.5369
2019-01-30 09 A,3607.164
2019-01-30 10 A,3413.3062
2019-01-30 11 A,3235.7344
2019-01-30 12 A,2991.3987
2019-01-30 13 A,2834.1174
2019-01-30 14 A,2715.2788
2019-01-30 15 A,2625.8833
2019-01-30 16 A,2569.392
2019-01-30 17 A,2656.3215
2019-01-30 18 A,2872.0686
2019-01-30 19 A,3086.5554
2019-01-30 20 A,3196.5374
2019-01-30 21 A,3108.51
2019-01-30 22 A,3020.305
2019-01-30 23 A,2870.4065
2019-01-30 24 A,2718.4155
2019-01-31 01 A,2353.6653
2019-01-31 02 A,2072.5508
2019-01-31 03 A,1937.9877
2019-01-31 04 A,1964.8022
2019-01-31 05 A,2109.857
2019-01-31 06 A,2329.9622
2019-01-31 07 A,2666.6362
2019-01-31 08 A,3107.112
2019-01-31 09 A,3235.6753
2019-01-31 10 A,3090.5989
2019-01-31 11 A,2990.9727
2019-01-31 12 A,2807.0972
2019-01-31 13 A,2659.1157
2019-01-31 14 A,2545.721
2019-01-31 15 A,2461.132
2019-01-31 16 A,2391.066
2019-01-31 17 A,2446.8604
2019-01-31 18 A,2641.9458
2019-01-31 19 A,2916.705
2019-01-31 20 A,3061.9373
2019-01-31 21 A,2977.0845
2019-01-31 22 A,2894.056
2019-01-31 23 A,2742.1394
2019-01-31 24 A,2604.429
2019-02-01 01 A,2363.0322
2019-02-01 02 A,2126.8965
2019-02-01 03 A,2013.3365
2019-02-01 04 A,2049.7441
2019-02-01 05 A,2205.247
2019-02-01 06 A,2380.5425
2019-02-01 07 A,2703.7898
2019-02-01 08 A,3171.5974
2019-02-01 09 A,3248.4158
2019-02-01 10 A,3061.8845
2019-02-01 11 A,2893.2737
2019-02-01 12 A,2678.2092
2019-02-01 13 A,2530.442
2019-02-01 14 A,2393.1538
2019-02-01 15 A,2259.7356
2019-02-01 16 A,2160.2468
2019-02-01 17 A,2226.0486
2019-02-01 18 A,2456.1797
2019-02-01 19 A,2791.5466
2019-02-01 20 A,2954.5564
2019-02-01 21 A,2916.4211
2019-02-01 22 A,2841.098
2019-02-01 23 A,2714.0808
2019-02-01 24 A,2530.632
2019-02-02 01 A,2289.3757
2019-02-02 02 A,2047.7911
2019-02-02 03 A,1950.2665
2019-02-02 04 A,2004.034
2019-02-02 05 A,2161.5642
2019-02-02 06 A,2351.0076
2019-02-02 07 A,2719.0498
2019-02-02 08 A,3192.5286
2019-02-02 09 A,3309.1929
2019-02-02 10 A,3076.7375
2019-02-02 11 A,2876.3389
2019-02-02 12 A,2647.6665
2019-02-02 13 A,2484.8767
2019-02-02 14 A,2341.879
2019-02-02 15 A,2192.841
2019-02-02 16 A,2087.27
2019-02-02 17 A,2147.7234
2019-02-02 18 A,2358.8577
2019-02-02 19 A,2696.805
2019-02-02 20 A,2861.722
2019-02-02 21 A,2823.4724
2019-02-02 22 A,2741.425
2019-02-02 23 A,2603.879
2019-02-02 24 A,2433.7092
2019-02-03 01 A,2245.6404
2019-02-03 02 A,1995.5166
2019-02-03 03 A,1870.2661
2019-02-03 04 A,1912.2825
2019-02-03 05 A,2050.1533
2019-02-03 06 A,2206.5557
2019-02-03 07 A,2406.4343
2019-02-03 08 A,2834.761
2019-02-03 09 A,3024.445
2019-02-03 10 A,2948.4321
2019-02-03 11 A,2889.747
2019-02-03 12 A,2681.581
2019-02-03 13 A,2547.2493
2019-02-03 14 A,2416.8752
2019-02-03 15 A,2283.4658
2019-02-03 16 A,2240.0623
2019-02-03 17 A,2314.9033
2019-02-03 18 A,2539.8906
2019-02-03 19 A,2887.752
2019-02-03 20 A,3019.8206
2019-02-03 21 A,2976.1057
2019-02-03 22 A,2903.4058
2019-02-03 23 A,2790.2742
2019-02-03 24 A,2697.77
2019-02-04 01 A,2514.929
2019-02-04 02 A,2269.7732
2019-02-04 03 A,2099.1704
2019-02-04 04 A,2119.8628
2019-02-04 05 A,2265.4102
2019-02-04 06 A,2384.275
2019-02-04 07 A,2519.6614
2019-02-04 08 A,2878.3618
2019-02-04 09 A,3068.187
2019-02-04 10 A,3044.46
2019-02-04 11 A,3008.8357
2019-02-04 12 A,2823.6543
2019-02-04 13 A,2712.2341
2019-02-04 14 A,2605.8938
2019-02-04 15 A,2479.6877
2019-02-04 16 A,2435.0066
2019-02-04 17 A,2511.8816
2019-02-04 18 A,2719.137
